id,text,source,date,true_bucket_for_reference,sentiment_label,sentiment_score
184,Great initiative: mentorship program pairs young women with women scientists.,news_site_A,2018-01-05,positive,positive,0.6249
180,Inspiring to see more girls enrolling in engineering programs this year.,news_site_B,2018-01-06,positive,positive,0.4215
54,Local school's all-girls coding club just won a national hackathon.,blog_commentary,2018-01-08,positive,positive,0.5719
204,Report finds harassment remains a major barrier for women in academia.,news_site_A,2018-01-12,negative,negative,-0.6478
69,University publishes data on male and female graduate completion rates.,news_site_B,2018-01-17,neutral,neutral,0.0
250,New study examines trends in women's tertiary education across regions.,blog_commentary,2018-01-25,neutral,neutral,0.0
150,New study examines trends in women's tertiary education across regions.,forum_discussion,2018-02-18,neutral,neutral,0.0
109,University publishes data on male and female graduate completion rates.,news_site_A,2018-02-28,neutral,neutral,0.0
95,Conference will address gender representation in scientific publishing.,news_site_A,2018-03-10,neutral,neutral,0.0
88,Lack of childcare support is pushing women out of postgraduate research.,blog_commentary,2018-03-16,negative,positive,0.1027
87,This university just opened a new center supporting women in physics.,forum_discussion,2018-03-21,positive,positive,0.4404
295,Women in STEM still face significant pay gaps despite equal qualifications.,news_site_A,2018-04-02,negative,positive,0.1027
22,Survey collects data on student demographics across engineering departments.,blog_commentary,2018-04-03,neutral,neutral,0.0
50,Inspiring to see more girls enrolling in engineering programs this year.,forum_discussion,2018-04-25,positive,positive,0.4215
210,Local school's all-girls coding club just won a national hackathon.,blog_commentary,2018-05-05,positive,positive,0.5719
241,Studies show women-led research teams are producing groundbreaking results.,news_site_B,2018-06-06,positive,neutral,0.0
264,Report shows literacy rates among women have improved significantly over the decade.,forum_discussion,2018-06-06,positive,positive,0.4767
16,Annual gender parity index released for primary and secondary education.,news_site_A,2018-06-10,neutral,neutral,0.0
211,Proud to see the gender gap in medical school admissions finally closing.,blog_commentary,2018-06-16,positive,positive,0.4767
214,More countries are investing in girls' secondary education with strong results.,forum_discussion,2018-06-28,positive,positive,0.5106
123,University publishes data on male and female graduate completion rates.,blog_commentary,2018-06-29,neutral,neutral,0.0
112,Dropout rates for girls in secondary school remain stubbornly high in some areas.,blog_commentary,2018-07-05,negative,negative,-0.34
6,Great initiative: mentorship program pairs young women with women scientists.,news_site_B,2018-07-10,positive,positive,0.6249
133,Studies show women-led research teams are producing groundbreaking results.,news_site_B,2018-07-11,positive,neutral,0.0
153,Conference will address gender representation in scientific publishing.,forum_discussion,2018-07-17,neutral,neutral,0.0
127,Local school's all-girls coding club just won a national hackathon.,news_site_A,2018-07-27,positive,positive,0.5719
36,This university just opened a new center supporting women in physics.,news_site_A,2018-08-04,positive,positive,0.4404
72,Panel discussion scheduled on women's participation in research fields.,news_site_B,2018-08-21,neutral,neutral,0.0
4,Proud to see the gender gap in medical school admissions finally closing.,news_site_A,2018-08-31,positive,positive,0.4767
20,Report finds harassment remains a major barrier for women in academia.,forum_discussion,2018-09-06,negative,negative,-0.6478
212,New scholarship program is helping women in rural areas access higher education.,forum_discussion,2018-09-11,positive,positive,0.296
5,Government agency publishes statistics on female enrollment by country.,blog_commentary,2018-09-11,neutral,neutral,0.0
9,Report shows literacy rates among women have improved significantly over the decade.,news_site_A,2018-09-15,positive,positive,0.4767
216,More countries are investing in girls' secondary education with strong results.,news_site_A,2018-09-25,positive,positive,0.5106
278,Why are women still underrepresented in senior faculty positions?,forum_discussion,2018-09-26,negative,neutral,0.0
192,Workshop held to discuss curriculum design for STEM outreach programs.,news_site_B,2018-10-04,neutral,positive,0.2732
3,Proud to see the gender gap in medical school admissions finally closing.,news_site_B,2018-10-14,positive,positive,0.4767
14,Conference will address gender representation in scientific publishing.,news_site_A,2018-10-27,neutral,neutral,0.0
164,Female enrollment in STEM PhDs hits a record high this semester.,news_site_B,2018-11-04,positive,neutral,0.0
152,Government agency publishes statistics on female enrollment by country.,forum_discussion,2018-11-09,neutral,neutral,0.0
243,Studies show women-led research teams are producing groundbreaking results.,news_site_B,2018-11-16,positive,neutral,0.0
222,Government agency publishes statistics on female enrollment by country.,news_site_B,2018-11-20,neutral,neutral,0.0
274,Workshop held to discuss curriculum design for STEM outreach programs.,news_site_A,2018-11-24,neutral,positive,0.2732
25,Local school's all-girls coding club just won a national hackathon.,news_site_B,2018-11-27,positive,positive,0.5719
